City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
233,Pangai,TO,79.39,light rain,-19.8,-174.35,Ha'apai Beach Resort
237,Omboue,GA,75.45,scattered clouds,-1.5746,9.2618,Hotel Olako
240,Eyl,SO,81.66,broken clouds,7.9803,49.8164,Amiin Hotel
245,San Fernando,PH,80.33,broken clouds,15.0286,120.6898,Maharlika Hostel
249,Makakilo City,US,75.52,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
254,Harper,LR,82.8,scattered clouds,4.375,-7.7169,Screensaver
255,Henderson,US,89.04,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
256,Acajutla,SV,86.4,scattered clouds,13.5928,-89.8275,Laureles
257,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
261,Ilesha,NG,79.34,light rain,7.1371,5.2583,Tosap Guest House
265,Burla,IN,87.4,overcast clouds,21.5,83.8667,VSSUT Guest House
273,Tambopata,PE,85.89,scattered clouds,-12.7333,-69.1833,Enashawa Lodge
274,Westport,US,76.44,haze,41.1415,-73.3579,The Westport Inn
275,Aswan,EG,94.75,clear sky,24.0934,32.907,Nuba Nile
276,Mangrol,IN,81.72,clear sky,21.1167,70.1167,Hotel The Royal Honours
280,Kattivakkam,IN,89.69,clear sky,13.2167,80.3167,Euronova Freezer
283,Ternate,ID,77.61,light rain,0.8,127.4,Sahid Bela Ternate Hotel
289,Algiers,DZ,82.22,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
292,Kavaratti,IN,82.92,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
293,San Patricio,US,90.32,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
299,Kanniyakumari,IN,80.6,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
306,Pierre,US,81.52,clear sky,44.3683,-100.351,Ramkota Hotel
307,Mardan,PK,87.82,scattered clouds,34.2019,72.0525,Post Graduate Hostel
308,Luwuk,ID,76.39,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
309,Nanning,CN,77.41,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
314,Carutapera,BR,81.52,broken clouds,-1.195,-46.02,Lidera
316,Dover,US,77.22,few clouds,39.1582,-75.5244,Bally's Dover Casino Resort
318,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
319,Tual,ID,82.6,few clouds,-5.6667,132.75,Grand Vilia Hotel
320,Puerto Carreno,CO,88.52,broken clouds,6.189,-67.4859,Casa Hotel Victoria
321,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
330,Alofi,NU,79.61,overcast clouds,-19.0595,-169.9187,Taloa Heights
331,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
334,Pontianak,ID,76.98,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
336,Kieta,PG,79.68,light rain,-6.2167,155.6333,Uruna Bay Retreat
338,Ahuimanu,US,76.71,moderate rain,21.4447,-157.8378,Paradise Bay Resort
342,Kasangulu,CD,76.53,broken clouds,-4.5911,15.1708,Hôtel le Relais
352,Salumbar,IN,92.08,clear sky,24.1333,74.05,chatra chaya guest house
354,Sugar Hill,US,80.17,clear sky,34.1065,-84.0335,"Holiday Inn Express & Suites Buford-Mall of GA, an IHG Hotel"
355,Touba,CI,90.95,scattered clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
356,Felanitx,ES,79.14,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
361,Gurupa,BR,84.81,scattered clouds,-1.405,-51.64,Hotel Vitória
373,Victoria,HK,84.33,overcast clouds,22.2855,114.1577,Mini Central
374,Ayame,CI,81.91,light rain,5.6083,-3.1563,Hotel Bossan
377,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
378,Fare,PF,80.89,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
380,Pontes E Lacerda,BR,92.7,clear sky,-15.2261,-59.3353,Hotel Bressan
381,Finschhafen,PG,78.67,broken clouds,-6.6024,147.8681,Cossam Guest House
385,Xuanhua,CN,77.16,broken clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
388,Dawei,MM,76.08,light rain,14.0833,98.2,Hotel Dawei
389,Anloga,GH,83.07,scattered clouds,5.7947,0.8973,Pin Drop Hotel
390,Catuday,PH,79.7,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
396,Civitavecchia,IT,76.82,broken clouds,42.0933,11.7967,Hotel Mediterraneo
398,Biltine,TD,94.08,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
400,Dasoguz,TM,77.02,clear sky,41.8363,59.9666,Hotel Erik
402,Nouakchott,MR,84.13,broken clouds,18.0858,-15.9785,HOTEL IMAN
405,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
406,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
414,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
415,Fairhope,US,85.14,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
421,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
424,Auki,SB,76.15,overcast clouds,-8.7676,160.7034,Auki Motel
433,Eydhafushi,MV,83.66,scattered clouds,5.1033,73.0708,Soneva Fushi
434,Nhulunbuy,AU,75.81,few clouds,-12.2333,136.7667,East Arnhem Real Estate
435,Ishigaki,JP,80.92,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
441,Riachao Das Neves,BR,91.85,clear sky,-11.7461,-44.91,Casa Costa
448,Itarema,BR,82.15,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
452,Odweyne,SO,79.54,light rain,9.4092,45.064,Eng Hiirey House
453,West Monroe,US,84.02,clear sky,32.5185,-92.1476,Hilton Garden Inn West Monroe
457,Bayonet Point,US,91.18,clear sky,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
461,Vanimo,PG,78.12,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
464,Kutum,SD,85.78,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
465,Iracoubo,GF,83.5,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
479,Havelock,US,82.98,broken clouds,34.8791,-76.9013,Sherwood Motel
480,Kavieng,PG,80.71,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
482,Ixtapa,MX,81.63,few clouds,20.7,-105.2,hotel la terminal
483,Vila Do Maio,CV,83.19,scattered clouds,15.1333,-23.2167,Hotel Marilu
487,Keti Bandar,PK,81.77,clear sky,24.1447,67.4497,Haji laloo memon house
489,Pocone,BR,93.99,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
490,Ariquemes,BR,92.28,few clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
492,Isla Mujeres,MX,86.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
497,Nago,JP,77.85,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
498,Wajir,KE,84.99,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
499,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
500,Niceville,US,86.58,broken clouds,30.5169,-86.4822,Hampton Inn Niceville-Eglin Air Force Base
501,Chatrapur,IN,85.26,scattered clouds,19.35,84.9833,Circuit House
504,Black River,JM,89.17,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
507,Rajula,IN,82.65,clear sky,21.05,71.4333,Lion Lords Inn Rajula
508,Onda,ES,85.05,few clouds,39.9667,-0.25,Motel Shhh
511,Manicore,BR,86.02,overcast clouds,-5.8092,-61.3003,Hotel Durval
512,Virginia Beach,US,81.05,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
514,Trairi,BR,80.67,broken clouds,-3.2778,-39.2689,janelas do mar
515,Bintulu,MY,79.95,overcast clouds,3.1667,113.0333,900 Boutique INN
516,Mumford,GH,82.33,scattered clouds,5.2618,-0.759,Spanish Villa
518,Seka,TH,76.19,broken clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
520,Saint Anthony,US,79.79,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
521,Naples,IT,77.61,few clouds,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
522,Inirida,CO,86.65,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
526,Iberia,US,84.06,clear sky,29.9502,-91.7507,back to back rv park
527,Sorong,ID,79.43,broken clouds,-0.8833,131.25,Waigo Splash Hotel
529,Savannah Bight,HN,81.34,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
530,Quatre Cocos,MU,75.31,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
533,Queimadas,BR,86.13,clear sky,-10.9783,-39.6264,Hotel Mandala
535,Syracuse,IT,76.37,clear sky,37.0881,15.2792,Hotel Posta
541,Rangapara,IN,77.04,few clouds,26.8167,92.65,Bidhan
542,Guarapari,BR,78.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
545,Lorengau,PG,78.87,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
546,Roura,GF,85.91,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
547,Balikpapan,ID,79.79,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
555,Santa Rosalia,MX,88.68,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
556,Bosaso,SO,85.24,broken clouds,11.2842,49.1816,Red Sea Hotel
560,Pampa,US,93.24,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
562,Suleja,NG,85.87,broken clouds,9.1758,7.1808,Capy Motel
563,Rondonopolis,BR,94.15,clear sky,-16.4708,-54.6356,Serras Hotel
