City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Khash,IR,2022-05-25 23:03:42,28.2211,61.2158,75.74,27,0,3.38
68,Alice Springs,AU,2022-05-25 23:00:18,-23.7,133.8833,53.15,76,6,0.0
69,Rock Springs,US,2022-05-25 23:03:42,41.5875,-109.2029,72.84,19,0,21.85
70,Ponta Do Sol,PT,2022-05-25 23:03:43,32.6667,-17.1,66.7,73,100,5.55
71,Garango,BF,2022-05-25 23:03:43,11.8,-0.5506,87.87,45,48,11.48
72,Saint-Leu,RE,2022-05-25 23:03:44,-21.15,55.2833,70.66,76,9,1.19
73,Chanthaburi,TH,2022-05-25 23:01:17,12.8333,102.1667,66.07,97,98,1.57
74,Vestmannaeyjar,IS,2022-05-25 23:03:12,63.4427,-20.2734,45.48,71,32,4.21
75,Bredasdorp,ZA,2022-05-25 23:03:44,-34.5322,20.0403,58.84,94,95,2.91
76,Srednekolymsk,RU,2022-05-25 23:03:45,67.45,153.6833,47.44,58,29,16.62
77,Avera,US,2022-05-25 23:03:45,33.194,-82.5271,83.71,65,98,10.4
78,Bandarbeyla,SO,2022-05-25 23:03:46,9.4942,50.8122,79.09,89,42,21.34
79,Saint-Louis,SN,2022-05-25 23:03:46,16.3333,-15.0,75.99,59,6,13.58
80,Suntar,RU,2022-05-25 23:03:46,62.1444,117.6319,42.17,59,100,6.98
81,Carnarvon,AU,2022-05-25 23:03:47,-24.8667,113.6333,70.63,55,100,4.36
82,Jamestown,US,2022-05-25 22:59:43,42.097,-79.2353,71.06,61,100,4.0
83,Namibe,AO,2022-05-25 23:03:47,-15.1961,12.1522,67.5,68,0,4.74
84,Atuona,PF,2022-05-25 23:03:48,-9.8,-139.0333,78.49,77,16,19.64
85,Valparaiso,CL,2022-05-25 22:59:18,-33.0393,-71.6273,62.83,74,0,11.5
86,Cayenne,GF,2022-05-25 23:03:48,4.9333,-52.3333,83.08,1,20,4.61
87,Iskandar,UZ,2022-05-25 23:03:49,41.5539,69.7008,70.65,24,26,10.02
88,Vardo,NO,2022-05-25 23:03:11,70.3705,31.1107,39.18,87,80,10.36
89,Lompoc,US,2022-05-25 22:59:51,34.6391,-120.4579,75.0,60,37,5.99
90,Busselton,AU,2022-05-25 23:01:27,-33.65,115.3333,53.31,86,0,5.73
91,Cuencame,MX,2022-05-25 23:03:50,24.8711,-103.6964,89.38,7,0,13.38
92,Teya,RU,2022-05-25 23:03:50,60.3778,92.6267,48.56,76,5,3.49
93,Hailar,CN,2022-05-25 23:03:51,49.2,119.7,61.9,31,99,2.77
94,Koungou,YT,2022-05-25 23:03:51,-12.7336,45.2042,76.71,88,20,6.91
95,Yakymivka,UA,2022-05-25 23:03:51,46.6897,35.1536,54.32,66,83,7.36
96,Upernavik,GL,2022-05-25 23:03:52,72.7868,-56.1549,25.23,62,85,7.49
97,Gwadar,PK,2022-05-25 23:04:53,25.1216,62.3254,82.13,91,0,5.84
